                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0487,                 2.6671,                 2.4551,                 1.3195,                      1,                0.30695,                 0.7524,                0.48925,                      1,                0.30695,                0.75652,                0.43312,                0.99398,                 2.5477,                 2.1853,                 1.1935,             0.00053932,             0.00053932,             0.00053932
                      2,                 1.0451,                 1.7606,                 1.3409,                 1.2879,                0.66883,                0.75334,                0.72402,                0.43469,                0.76787,                0.76531,                0.79866,                0.47302,                 1.0128,                 1.4929,                 1.3751,                  1.216,              0.0010896,              0.0010896,              0.0010896
                      3,                 1.0858,                 1.7563,                 1.2132,                 1.3206,                0.62631,                0.73735,                0.68379,                0.33918,                0.62631,                0.73735,                0.72289,                0.34181,                 1.1115,                 2.0451,                  3.609,                 1.4059,              0.0016343,              0.0016343,              0.0016343
                      4,                 1.0992,                 1.7411,                 1.2028,                 1.3479,                0.88152,                 0.7978,                0.92902,                0.51442,                0.88152,                 0.7978,                0.93105,                0.55803,                 1.0642,                 1.2508,                  1.459,                 1.3432,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.0376,                 1.6681,                 1.1217,                 1.2927,                0.83069,                0.83532,                0.86762,                0.65032,                0.83948,                0.84325,                 0.8636,                0.60782,                0.78396,                 1.3758,                 1.0083,                  1.108,              0.0016422,              0.0016422,              0.0016422
                      6,                 1.0294,                  1.649,                 1.1373,                 1.2899,                0.72091,                0.92855,                0.86151,                0.55565,                0.72091,                0.92855,                0.86151,                0.54994,                0.94627,                 1.1843,                  1.175,                  1.181,               0.001634,               0.001634,               0.001634
                      7,                0.98435,                 1.6402,                 1.0304,                  1.265,                0.91875,                 0.9841,                0.98409,                0.68952,                0.91875,                 0.9841,                0.98409,                0.64415,                0.88918,                 1.4142,                 1.0736,                 1.1532,              0.0016257,              0.0016257,              0.0016257
                      8,                 1.0514,                 1.5752,                 1.0845,                 1.3232,                0.64379,                0.73823,                0.64631,                0.44156,                0.69945,                0.86706,                0.73407,                0.44564,                 0.9394,                  1.355,                 1.0074,                 1.1581,              0.0016175,              0.0016175,              0.0016175
                      9,                0.97786,                 1.5416,                0.96889,                  1.253,                0.73997,                0.79365,                0.70952,                0.49017,                0.77778,                0.83532,                0.75923,                 0.5094,                0.89443,                 1.2504,                 1.1049,                 1.1488,              0.0016092,              0.0016092,              0.0016092
                     10,                 1.0077,                  1.623,                0.96755,                 1.2457,                0.86596,                0.86507,                0.92214,                0.63031,                 0.8747,                0.87292,                0.89651,                0.59603,                0.91505,                 1.3475,                0.93404,                 1.1792,               0.001601,               0.001601,               0.001601
