                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0318,                 1.9654,                 1.9457,                 1.0883,                0.90254,                0.47819,                0.92538,                0.68363,                0.90254,                0.47819,                0.91968,                0.62135,                0.98582,                 1.7901,                 2.2694,                 1.0204,             0.00051677,             0.00051677,             0.00051677
                      2,                0.97491,                 1.4832,                0.88188,                 1.0195,                0.73142,                 0.5825,                0.90663,                0.69041,                0.72765,                0.58179,                0.90365,                0.63834,                 1.0455,                 1.6763,                 1.9613,                 1.0624,               0.001045,               0.001045,               0.001045
                      3,                0.99331,                 1.4845,                0.80182,                 1.0362,                 0.6965,                0.85608,                0.88061,                0.65388,                0.69177,                0.84689,                0.87831,                0.61406,                0.99557,                 1.6023,                 1.4143,                  1.076,               0.001568,               0.001568,               0.001568
                      4,                0.96119,                 1.4148,                0.74908,                 1.0186,                0.87883,                0.88523,                0.97266,                0.73007,                0.87333,                0.88198,                0.96625,                0.69483,                0.99837,                 1.3832,                0.93156,                 1.0512,              0.0016422,              0.0016422,              0.0016422
                      5,                0.91955,                 1.3316,                0.71141,                 1.0091,                0.81129,                0.89537,                0.90654,                 0.6476,                0.80321,                0.87471,                0.89213,                0.60412,                  1.001,                 1.4837,                0.92007,                 1.0546,               0.001634,               0.001634,               0.001634
                      6,                0.91827,                 1.3106,                0.67783,                 1.0069,                0.93265,                0.95807,                0.97663,                 0.7709,                0.92901,                0.95453,                0.97269,                0.71294,                0.94877,                 1.4622,                0.67191,                 1.0354,              0.0016257,              0.0016257,              0.0016257
                      7,                0.88045,                 1.3211,                0.63461,                0.99043,                 0.9323,                0.95578,                0.97352,                0.76341,                0.93302,                0.95648,                0.97163,                0.72221,                0.95706,                 1.3123,                0.70579,                 1.0271,              0.0016175,              0.0016175,              0.0016175
                      8,                0.87144,                 1.3256,                0.62536,                0.98946,                0.92999,                0.87968,                0.95482,                0.76779,                0.92023,                0.86942,                0.93664,                0.68759,                0.91641,                 1.3838,                0.68149,                 1.0215,              0.0016092,              0.0016092,              0.0016092
                      9,                0.83127,                  1.247,                0.59287,                0.97519,                0.96779,                0.95691,                0.96915,                0.78972,                0.96706,                 0.9562,                0.96917,                0.68361,                0.90393,                 1.5389,                0.59629,                 1.0315,               0.001601,               0.001601,               0.001601
                     10,                0.82998,                  1.195,                0.56191,                0.97373,                0.95393,                0.96743,                0.97872,                0.80803,                0.95321,                0.96673,                0.97854,                 0.7399,                0.93538,                 1.3577,                 0.5732,                 1.0198,              0.0015927,              0.0015927,              0.0015927
                     11,                0.85271,                 1.2961,                0.58079,                0.98559,                0.95373,                0.95562,                0.97969,                0.80289,                0.95221,                0.95423,                0.97852,                0.74778,                0.93115,                 1.3781,                0.58157,                 1.0434,              0.0015845,              0.0015845,              0.0015845
                     12,                0.83408,                 1.2285,                 0.5535,                0.98104,                0.94308,                0.96814,                0.98016,                0.79785,                0.94227,                0.96814,                0.98272,                0.72006,                0.89934,                 1.4333,                0.53868,                 1.0031,              0.0015762,              0.0015762,              0.0015762
                     13,                0.80501,                 1.2008,                 0.5212,                0.96831,                0.95822,                0.96484,                0.98123,                0.82219,                0.95822,                0.96484,                0.98094,                0.75415,                0.88065,                 1.4354,                0.49029,                 1.0165,               0.001568,               0.001568,               0.001568
                     14,                0.81698,                 1.2184,                0.52134,                0.97768,                 0.9599,                0.96146,                0.98013,                0.80465,                0.96001,                0.96142,                 0.9797,                0.73782,                0.91851,                 1.3273,                0.52178,                  1.012,              0.0015597,              0.0015597,              0.0015597
                     15,                0.79749,                 1.1804,                0.49666,                0.96169,                0.95322,                0.95754,                0.97991,                0.78249,                0.95334,                0.95825,                0.98107,                0.70259,                 1.0361,                 1.5762,                0.55324,                 1.0388,              0.0015515,              0.0015515,              0.0015515
                     16,                0.80475,                 1.2184,                0.50366,                0.96175,                0.95978,                0.96743,                0.98249,                0.79603,                 0.9641,                0.96531,                0.98237,                0.73701,                0.90949,                 1.4121,                0.50824,                 1.0248,              0.0015432,              0.0015432,              0.0015432
                     17,                0.78738,                 1.1748,                0.49119,                0.95888,                0.96636,                0.98096,                 0.9847,                0.84503,                0.96912,                 0.9816,                0.98537,                0.78065,                0.82078,                 1.2917,                0.45513,                0.98367,               0.001535,               0.001535,               0.001535
                     18,                 0.7919,                 1.1627,                0.48574,                0.95963,                0.96133,                0.97099,                0.98316,                0.81758,                 0.9649,                0.97453,                0.98619,                0.76896,                0.89908,                 1.2763,                0.49393,                0.97874,              0.0015267,              0.0015267,              0.0015267
                     19,                0.79648,                 1.1857,                0.48798,                0.96032,                0.95916,                0.96917,                0.98553,                0.83186,                0.96129,                 0.9713,                0.99043,                 0.7683,                0.89211,                  1.274,                0.47164,                0.99613,              0.0015185,              0.0015185,              0.0015185
                     20,                0.78006,                 1.1427,                0.48052,                0.95972,                0.97685,                0.98108,                  0.988,                0.83189,                0.97756,                0.98179,                0.99082,                0.76111,                 0.8559,                 1.2564,                0.45428,                0.98095,              0.0015102,              0.0015102,              0.0015102
                     21,                0.77182,                  1.155,                0.46912,                0.94789,                0.95153,                0.97459,                0.98585,                 0.8301,                0.94937,                0.97247,                0.98142,                0.76758,                0.85847,                 1.2966,                0.45799,                0.98484,               0.001502,               0.001502,               0.001502
                     22,                0.76602,                  1.164,                0.47413,                0.95305,                0.95468,                0.97551,                 0.9842,                0.83659,                0.95538,                0.97622,                0.98571,                0.76719,                0.85197,                 1.3545,                0.44935,                0.99866,              0.0014937,              0.0014937,              0.0014937
                     23,                0.77054,                 1.1248,                0.46567,                0.96223,                0.95775,                0.96392,                0.98453,                0.82375,                0.95936,                0.96533,                0.98662,                0.77566,                0.89408,                 1.3278,                0.47249,                0.99169,              0.0014855,              0.0014855,              0.0014855
                     24,                0.76178,                 1.1245,                0.45732,                0.95204,                0.95615,                 0.9724,                0.98369,                0.83191,                 0.9576,                0.97382,                0.98713,                0.76877,                0.87855,                 1.3261,                0.43563,                0.99125,              0.0014772,              0.0014772,              0.0014772
                     25,                0.76138,                 1.1619,                0.45825,                0.95271,                  0.949,                0.97381,                0.97437,                 0.8294,                 0.9521,                0.97628,                0.97736,                 0.7577,                0.87253,                  1.359,                0.46879,                 1.0031,               0.001469,               0.001469,               0.001469
                     26,                0.73945,                 1.1134,                 0.4409,                0.94115,                0.96331,                0.95229,                0.98479,                0.82618,                0.96257,                0.95158,                0.98275,                0.77382,                0.92641,                 1.3883,                0.45952,                 1.0059,              0.0014607,              0.0014607,              0.0014607
                     27,                0.73797,                 1.1124,                0.44088,                0.94377,                0.96603,                  0.975,                 0.9773,                0.82869,                0.97031,                0.97924,                0.98458,                0.76753,                0.87366,                 1.3458,                0.44635,                  1.011,              0.0014525,              0.0014525,              0.0014525
                     28,                0.74002,                 1.0905,                0.43474,                0.94076,                0.97611,                0.98089,                0.98452,                0.82469,                0.97792,                0.97656,                0.98425,                0.77287,                0.90864,                 1.3253,                0.44183,                0.99574,              0.0014442,              0.0014442,              0.0014442
                     29,                0.72787,                 1.0721,                0.43212,                0.93804,                0.97525,                0.96677,                0.98594,                0.83633,                0.97586,                0.97106,                0.98738,                0.77504,                0.85889,                 1.2523,                 0.4318,                0.98748,               0.001436,               0.001436,               0.001436
                     30,                 0.7501,                 1.1038,                0.43678,                0.94365,                0.97353,                0.95868,                0.98877,                0.81883,                0.97353,                0.95502,                0.98602,                0.74906,                0.92533,                 1.4473,                0.45627,                 1.0096,              0.0014277,              0.0014277,              0.0014277
                     31,                0.73484,                 1.0691,                0.42366,                0.93511,                0.97569,                0.97926,                 0.9854,                0.80948,                0.97724,                0.98033,                0.98568,                0.73521,                0.94853,                 1.4933,                0.43644,                 1.0235,              0.0014195,              0.0014195,              0.0014195
                     32,                0.73753,                 1.0995,                0.42845,                0.93811,                0.97217,                0.98033,                0.98735,                 0.8339,                0.97161,                0.97947,                0.98538,                0.76434,                0.84777,                 1.3052,                0.41116,                0.99105,              0.0014112,              0.0014112,              0.0014112
                     33,                0.70168,                 1.0336,                0.41804,                0.93093,                0.96701,                0.96576,                0.98578,                0.83357,                0.96896,                0.96578,                0.98681,                0.74638,                0.86411,                 1.3421,                0.43153,                 1.0145,              0.0014029,              0.0014029,              0.0014029
                     34,                0.70737,                 1.0568,                0.42163,                0.93813,                0.95045,                0.98053,                0.98082,                0.82658,                 0.9487,                0.97877,                0.97786,                0.76624,                0.85255,                 1.4773,                0.42147,                0.99922,              0.0013947,              0.0013947,              0.0013947
                     35,                0.71444,                 1.0768,                0.42305,                0.92865,                0.96417,                0.97225,                0.98063,                0.83459,                0.96479,                0.97078,                0.98175,                0.77254,                0.85634,                 1.3384,                0.42779,                0.99116,              0.0013864,              0.0013864,              0.0013864
                     36,                 0.6985,                 1.0367,                0.40936,                0.93211,                0.97671,                0.98022,                0.98719,                 0.8446,                0.97945,                0.97871,                0.98888,                0.79588,                0.82641,                 1.3255,                0.40109,                0.99108,              0.0013782,              0.0013782,              0.0013782
                     37,                0.70235,                 1.0189,                0.40498,                0.92228,                 0.9562,                0.97659,                0.98381,                0.84439,                 0.9576,                0.97801,                0.98532,                0.78322,                0.82308,                 1.2799,                0.42039,                0.97966,              0.0013699,              0.0013699,              0.0013699
                     38,                0.71015,                 1.0634,                 0.4104,                0.93006,                0.95087,                0.96389,                0.98564,                0.84647,                0.95201,                0.96743,                0.98703,                0.78815,                0.83005,                 1.2413,                0.40567,                0.97309,              0.0013617,              0.0013617,              0.0013617
                     39,                0.68965,                 1.0389,                0.40138,                 0.9348,                0.95746,                0.97548,                0.98358,                0.83763,                0.94843,                0.97454,                0.98312,                0.77684,                0.88116,                 1.3464,                0.41685,                0.99654,              0.0013534,              0.0013534,              0.0013534
                     40,                0.72272,                 1.0781,                0.41716,                0.93668,                0.97033,                0.98381,                0.98656,                 0.8516,                0.97315,                 0.9796,                0.98889,                0.78978,                0.83915,                  1.351,                0.39095,                0.98808,              0.0013452,              0.0013452,              0.0013452
                     41,                 0.6986,                 1.0256,                0.40275,                0.92959,                0.96321,                0.97452,                0.98697,                0.84842,                0.96536,                0.97664,                0.98914,                0.77378,                0.84745,                  1.351,                0.39856,                0.99018,              0.0013369,              0.0013369,              0.0013369
                     42,                0.66752,                 1.0049,                0.38693,                 0.9222,                0.95846,                 0.9816,                0.98507,                 0.8322,                0.96056,                0.98372,                0.98939,                0.77185,                0.86987,                 1.3794,                0.42927,                 1.0028,              0.0013287,              0.0013287,              0.0013287
                     43,                0.69933,                 1.0433,                0.40492,                0.93014,                0.96196,                0.98015,                0.98425,                0.83941,                0.95982,                0.97803,                0.98301,                0.77427,                0.85002,                 1.3609,                0.41618,                 1.0032,              0.0013204,              0.0013204,              0.0013204
                     44,                0.68218,                 1.0028,                0.39323,                0.92118,                0.96943,                0.97323,                0.98494,                0.83112,                0.97145,                0.97522,                0.98678,                 0.7697,                0.86741,                 1.4221,                0.41044,                 1.0144,              0.0013122,              0.0013122,              0.0013122
                     45,                0.70664,                 1.0388,                0.40115,                0.93175,                0.97572,                0.98372,                0.98553,                0.85007,                 0.9755,                0.98372,                0.98701,                 0.7938,                0.83724,                 1.4145,                0.39982,                  1.005,              0.0013039,              0.0013039,              0.0013039
                     46,                0.68141,                 1.0087,                0.38879,                0.92221,                 0.9755,                0.98231,                0.98801,                0.83653,                0.97822,                0.97884,                0.98967,                0.77966,                0.91623,                 1.3805,                0.41533,                 1.0027,              0.0012957,              0.0012957,              0.0012957
                     47,                0.68142,                 1.0127,                0.38622,                  0.923,                0.96449,                0.97684,                0.98474,                0.84712,                0.96593,                0.97821,                0.98709,                0.78212,                0.85055,                 1.4032,                0.39146,                0.99375,              0.0012874,              0.0012874,              0.0012874
                     48,                 0.6792,                 1.0077,                0.38726,                0.91651,                0.97022,                0.97912,                0.98929,                0.83716,                0.97165,                0.98054,                0.99067,                0.78852,                0.88091,                 1.3053,                0.40475,                0.99076,              0.0012792,              0.0012792,              0.0012792
                     49,                0.66463,                0.98445,                0.37713,                0.91821,                0.96414,                0.97522,                0.98258,                0.84413,                0.96556,                0.97664,                0.98401,                0.78987,                0.85296,                 1.3438,                0.41244,                 1.0073,              0.0012709,              0.0012709,              0.0012709
                     50,                 0.6812,                0.99627,                0.38669,                0.92333,                0.97433,                0.97894,                0.98696,                0.85097,                 0.9716,                0.98018,                0.98911,                0.79297,                0.85598,                 1.3013,                0.39459,                0.98462,              0.0012627,              0.0012627,              0.0012627
                     51,                0.65509,                0.95398,                0.37459,                0.89926,                0.97249,                0.98293,                0.98605,                0.85662,                0.97189,                0.98231,                0.98593,                0.79571,                0.81154,                 1.3134,                 0.3774,                0.98306,              0.0012544,              0.0012544,              0.0012544
